# Program:featureCounts v1.6.2; Command:"/home/lzc/soft/subread-1.6.2-source/bin/featureCounts" "-t" "exon" "-g" "gene_id" "-s" "1" "-a" "./genome/GCF_000191905.1_ASM19190v1_genomic.gtf" "-o" "/home/lzc/project/117_ZK005/results/3.Expression/genes_count.txt" "/home/lzc/project/117_ZK005/mapping/bam/824_24h_1.sorted.bam" "/home/lzc/project/117_ZK005/mapping/bam/824_24h_2.sorted.bam" "/home/lzc/project/117_ZK005/mapping/bam/824_24h_3.sorted.bam" "/home/lzc/project/117_ZK005/mapping/bam/824_6h_1.sorted.bam" "/home/lzc/project/117_ZK005/mapping/bam/824_6h_2.sorted.bam" "/home/lzc/project/117_ZK005/mapping/bam/824_6h_3.sorted.bam" "/home/lzc/project/117_ZK005/mapping/bam/F_3_24h_1.sorted.bam" "/home/lzc/project/117_ZK005/mapping/bam/F_3_24h_2.sorted.bam" "/home/lzc/project/117_ZK005/mapping/bam/F_3_24h_3.sorted.bam" "/home/lzc/project/117_ZK005/mapping/bam/F_3_6h_1.sorted.bam" "/home/lzc/project/117_ZK005/mapping/bam/F_3_6h_2.sorted.bam" "/home/lzc/project/117_ZK005/mapping/bam/F_3_6h_3.sorted.bam" 
Geneid	Chr	Start	End	Strand	Length	/home/lzc/project/117_ZK005/mapping/bam/824_24h_1.sorted.bam	/home/lzc/project/117_ZK005/mapping/bam/824_24h_2.sorted.bam	/home/lzc/project/117_ZK005/mapping/bam/824_24h_3.sorted.bam	/home/lzc/project/117_ZK005/mapping/bam/824_6h_1.sorted.bam	/home/lzc/project/117_ZK005/mapping/bam/824_6h_2.sorted.bam	/home/lzc/project/117_ZK005/mapping/bam/824_6h_3.sorted.bam	/home/lzc/project/117_ZK005/mapping/bam/F_3_24h_1.sorted.bam	/home/lzc/project/117_ZK005/mapping/bam/F_3_24h_2.sorted.bam	/home/lzc/project/117_ZK005/mapping/bam/F_3_24h_3.sorted.bam	/home/lzc/project/117_ZK005/mapping/bam/F_3_6h_1.sorted.bam	/home/lzc/project/117_ZK005/mapping/bam/F_3_6h_2.sorted.bam	/home/lzc/project/117_ZK005/mapping/bam/F_3_6h_3.sorted.bam
gene1132	NC_017295.1	1224171	1226168	-	1998	68	96	50	646	769	1764	742	744	775	1612	846	584
gene1133	NC_017295.1	1226579	1226851	+	273	19	25	14	167	113	175	113	110	117	216	114	101
gene1134	NC_017295.1	1226974	1227330	+	357	8	7	6	35	14	31	26	42	25	5	10	10
gene1135	NC_017295.1	1227496	1228566	-	1071	1410	1478	737	1901	1982	7305	2253	2111	3223	3675	3232	1999
gene1136	NC_017295.1	1228760	1237213	-	8454	87	155	103	1501	1030	3052	1488	1304	2747	1753	963	667
gene1137	NC_017295.1	1237375	1241058	+	3684	37	48	43	484	156	324	145	88	209	125	81	72
gene1138	NC_017295.1	1241133	1246592	+	5460	20	21	22	651	187	326	82	64	129	102	66	81
gene1139	NC_017295.1	1246877	1247374	+	498	3	9	0	47	21	20	11	4	9	4	3	8
gene1140	NC_017295.1	1247541	1248179	+	639	4	4	5	52	23	44	22	9	19	15	17	19
gene1141	NC_017295.1	1248499	1249923	+	1425	0	5	3	83	24	46	1	2	7	9	11	7
gene1142	NC_017295.1	1249930	1252239	+	2310	13	17	8	202	69	105	3	1	7	20	22	30
gene1143	NC_017295.1	1252408	1253286	+	879	12	17	11	167	69	114	16	9	15	45	23	29
gene1144	NC_017295.1	1253515	1253703	+	189	0	0	0	5	5	4	1	1	2	11	1	1
gene1145	NC_017295.1	1253916	1254890	+	975	87	120	109	356	325	704	372	336	278	612	258	251
gene1146	NC_017295.1	1254929	1255843	+	915	83	81	58	339	303	850	477	417	338	631	341	307
gene1147	NC_017295.1	1255836	1256384	+	549	3	9	6	120	100	223	49	30	25	78	41	56
gene1148	NC_017295.1	1256415	1257812	+	1398	481	561	362	700	682	1837	1352	1262	1166	1501	778	597
gene1149	NC_017295.1	1257862	1258686	-	825	456	405	368	2131	1896	4461	2931	2536	3232	2913	2273	1697
gene1150	NC_017295.1	1258762	1259253	-	492	0	7	1	21	5	20	33	25	45	43	39	10
gene1151	NC_017295.1	1259329	1260207	-	879	3	9	5	129	31	61	95	108	81	55	34	26
gene1152	NC_017295.1	1260474	1261634	+	1161	7	16	8	129	64	92	17	12	21	40	35	31
gene1153	NC_017295.1	1261654	1262931	+	1278	51	66	43	195	120	265	157	132	182	175	141	133
gene1154	NC_017295.1	1262969	1263619	-	651	84	113	86	1029	582	1004	972	1073	1240	1150	636	667
gene1155	NC_017295.1	1264001	1266616	+	2616	60	91	58	516	496	1222	761	606	730	1219	611	488
gene1156	NC_017295.1	1266638	1267243	+	606	21	24	25	179	151	317	226	174	171	420	206	150
gene1157	NC_017295.1	1267244	1267795	+	552	1	2	2	22	7	39	5	3	6	5	6	13
gene1158	NC_017295.1	1268063	1268146	+	84	0	1	1	35	35	160	16	9	20	42	18	39
gene1159	NC_017295.1	1268155	1268346	+	192	9	8	2	203	162	749	129	98	97	591	209	231
gene1160	NC_017295.1	1268618	1269592	+	975	995	1121	712	5699	7030	10473	3830	2860	4774	9506	4945	5812
gene1161	NC_017295.1	1269711	1270055	+	345	8	34	12	358	166	228	183	188	231	279	139	171
gene1162	NC_017295.1	1270112	1270573	-	462	45	70	35	923	302	684	559	565	603	591	391	329
gene1163	NC_017295.1	1270586	1270840	-	255	1	2	2	67	56	129	52	62	56	72	31	60
gene1164	NC_017295.1	1270853	1271128	-	276	1	3	1	335	42	54	36	39	26	65	43	41
gene1165	NC_017295.1	1271181	1271933	-	753	22	39	20	5048	1008	1812	214	200	175	1073	594	788
gene1166	NC_017295.1	1272002	1273075	-	1074	10	9	4	1902	333	635	12	12	10	404	236	275
gene1167	NC_017295.1	1273091	1273354	-	264	1	0	0	25	1	4	0	0	0	0	3	3
gene1168	NC_017295.1	1273358	1274380	-	1023	2	1	0	1559	267	369	0	2	4	267	146	167
gene1169	NC_017295.1	1274392	1274751	-	360	1	0	0	125	10	16	0	0	1	4	3	3
gene1170	NC_017295.1	1274818	1274940	-	123	0	1	0	17	5	7	0	0	1	3	0	0
gene1171	NC_017295.1	1275076	1275195	-	120	0	0	0	19	4	6	0	1	0	0	3	1
gene1172	NC_017295.1	1275276	1278533	-	3258	24	22	18	1678	284	507	37	31	31	228	166	208
gene1173	NC_017295.1	1278538	1279725	-	1188	7	7	1	1007	100	187	36	44	55	185	86	94
gene1174	NC_017295.1	1279736	1280662	-	927	8	4	4	751	113	170	22	21	26	133	70	73
gene1175	NC_017295.1	1280674	1281306	-	633	3	4	0	517	67	112	2	7	3	120	51	58
gene1176	NC_017295.1	1281317	1282021	-	705	2	0	1	158	17	35	0	1	3	6	4	14
gene1177	NC_017295.1	1282066	1282485	-	420	0	1	0	154	32	53	1	2	1	19	8	9
gene1178	NC_017295.1	1282491	1283111	-	621	0	3	0	196	29	45	1	1	0	23	15	21
gene1179	NC_017295.1	1283162	1289320	-	6159	39	24	10	4527	792	1332	21	15	23	418	355	368
gene1180	NC_017295.1	1289403	1289672	+	270	6	4	4	571	92	99	27	34	47	120	46	78
gene1181	NC_017295.1	1289973	1290296	-	324	1	0	0	255	21	46	3	8	3	35	12	24
gene1182	NC_017295.1	1290358	1291461	-	1104	16	23	1	3261	445	912	19	12	11	434	340	292
gene1183	NC_017295.1	1291496	1291957	-	462	3	2	0	715	41	49	1	2	7	39	23	53
gene1184	NC_017295.1	1291962	1292555	-	594	3	4	0	459	71	137	4	4	4	62	50	52
gene1185	NC_017295.1	1292552	1293199	-	648	4	2	3	248	34	54	3	1	2	28	19	15
gene1186	NC_017295.1	1293213	1293653	-	441	0	0	0	189	15	24	2	0	1	6	5	17
gene1187	NC_017295.1	1293667	1294137	-	471	0	0	0	1430	123	100	3	3	6	128	37	105
gene1188	NC_017295.1	1294199	1295218	-	1020	17	7	2	1750	310	606	5	0	9	235	157	153
gene1189	NC_017295.1	1295261	1295704	-	444	4	4	0	407	86	132	0	1	0	53	34	42
gene1190	NC_017295.1	1295752	1297218	-	1467	9	2	1	1161	165	244	2	2	3	58	36	82
gene1191	NC_017295.1	1297292	1298809	-	1518	16	12	6	10499	1193	1963	8	10	4	1016	730	836
gene1192	NC_017295.1	1298802	1300571	-	1770	35	11	3	10110	943	1600	13	11	10	684	631	659
gene1193	NC_017295.1	1300572	1301531	-	960	4	1	0	1335	91	159	2	0	0	71	55	64
gene1194	NC_017295.1	1301596	1303191	-	1596	13	13	3	2647	395	673	6	7	10	244	188	197
gene1195	NC_017295.1	1303214	1303402	-	189	0	0	0	22	4	8	0	0	0	0	0	1
gene1196	NC_017295.1	1303515	1303727	-	213	2	0	0	83	20	40	0	1	0	18	14	14
gene1197	NC_017295.1	1303776	1306211	-	2436	23	8	7	866	214	274	12	7	26	197	77	115
gene1198	NC_017295.1	1306254	1306469	-	216	1	2	0	7	2	4	0	0	0	2	1	0
gene1199	NC_017295.1	1306459	1306761	-	303	1	2	1	33	8	11	1	2	3	0	1	4
gene1200	NC_017295.1	1306790	1308619	-	1830	20	14	7	318	106	192	14	11	24	96	49	53
gene1201	NC_017295.1	1308682	1310862	-	2181	5	3	1	281	56	91	8	1	4	41	15	25
gene1202	NC_017295.1	1311162	1312043	-	882	0	0	0	141	29	30	0	1	3	21	21	20
gene1203	NC_017295.1	1313658	1313918	+	261	16	12	7	154	32	46	1	0	1	22	12	18
gene1204	NC_017295.1	1314568	1314876	+	309	2	11	6	23	5	9	0	0	0	1	0	1
gene1205	NC_017295.1	1314930	1315346	+	417	5	1	5	31	14	9	0	0	0	1	3	3
gene1206	NC_017295.1	1315407	1315901	+	495	33	41	31	73	9	12	0	1	0	3	2	1
gene1207	NC_017295.1	1315933	1316736	+	804	3	5	1	63	9	20	0	0	0	1	4	7
gene1208	NC_017295.1	1316783	1317079	+	297	1	3	0	17	1	1	0	1	0	0	1	0
gene1209	NC_017295.1	1317164	1317436	+	273	1	2	1	19	3	1	0	0	2	0	1	2
gene1210	NC_017295.1	1317466	1317699	+	234	2	6	3	16	4	3	0	0	2	0	1	1
gene1211	NC_017295.1	1317756	1318007	+	252	0	0	1	19	2	2	0	0	0	2	2	2
gene1212	NC_017295.1	1318040	1318474	+	435	10	14	10	36	4	6	0	1	1	3	2	3
gene1213	NC_017295.1	1318522	1319637	+	1116	74	88	58	167	44	57	3	0	0	12	5	16
gene1214	NC_017295.1	1319640	1319900	+	261	2	7	6	44	15	12	0	2	0	2	1	3
gene1215	NC_017295.1	1320165	1320362	+	198	1	1	4	24	7	8	0	0	0	1	1	1
gene1216	NC_017295.1	1320363	1320569	+	207	1	1	1	1	2	2	0	0	0	0	1	1
gene1217	NC_017295.1	1320618	1321433	+	816	17	34	21	103	17	18	0	2	0	5	3	8
gene1218	NC_017295.1	1321504	1321827	+	324	23	29	25	72	54	93	6	4	11	27	23	26
gene1219	NC_017295.1	1321913	1322785	+	873	1	0	1	128	18	43	1	0	5	7	1	7
gene1220	NC_017295.1	1322782	1323102	+	321	0	3	0	14	0	5	0	0	1	0	0	2
gene1221	NC_017295.1	1323123	1323482	+	360	5	10	4	35	4	8	0	0	3	2	1	1
gene1222	NC_017295.1	1323571	1323756	+	186	2	2	1	12	1	1	0	0	0	0	1	2
gene1223	NC_017295.1	1323788	1324036	+	249	2	0	0	11	0	1	0	1	0	0	0	2
gene1224	NC_017295.1	1324145	1324375	+	231	0	1	3	16	1	1	0	0	0	1	0	0
gene1225	NC_017295.1	1324419	1324949	+	531	8	18	18	31	14	9	1	0	0	7	5	4
gene1226	NC_017295.1	1325231	1326289	+	1059	20	33	28	150	36	34	5	1	5	7	6	10
gene1227	NC_017295.1	1326282	1326560	+	279	3	4	1	22	15	18	0	0	0	6	3	4
gene1228	NC_017295.1	1326710	1327609	+	900	8	9	2	108	28	22	6	5	11	6	4	10
gene1229	NC_017295.1	1327686	1328234	+	549	15	8	9	53	9	12	3	1	5	3	3	5
gene1230	NC_017295.1	1328218	1329087	+	870	99	122	87	246	99	199	11	3	19	65	55	40
gene1231	NC_017295.1	1329108	1329542	+	435	1	3	4	39	7	7	0	0	1	2	1	4
gene1232	NC_017295.1	1329649	1329831	+	183	2	1	1	30	9	15	0	0	1	1	3	4
gene1233	NC_017295.1	1329928	1330311	+	384	3	6	3	71	17	19	3	0	0	4	6	12
gene1234	NC_017295.1	1330473	1330595	+	123	2	8	3	49	12	17	0	0	0	6	4	2
gene1235	NC_017295.1	1330592	1330897	+	306	1	5	1	44	5	9	0	0	0	1	1	2
gene1236	NC_017295.1	1330898	1331134	+	237	0	3	0	6	2	3	0	0	0	0	0	0
gene1237	NC_017295.1	1331149	1331433	+	285	4	7	4	14	9	8	0	0	0	4	1	3
gene1238	NC_017295.1	1331435	1331659	+	225	13	20	22	37	9	31	4	1	0	21	14	4
gene1239	NC_017295.1	1331679	1331900	+	222	6	7	0	13	6	3	0	0	0	2	1	1
gene1240	NC_017295.1	1331960	1332949	+	990	11	6	11	226	54	73	2	0	0	21	8	15
gene1241	NC_017295.1	1333018	1334073	+	1056	15	12	17	340	83	155	2	2	4	87	59	57
gene1242	NC_017295.1	1334115	1334699	+	585	0	0	2	53	21	17	0	0	0	8	4	7
gene1243	NC_017295.1	1334740	1335021	+	282	0	0	0	4	1	0	1	0	0	0	0	1
gene1244	NC_017295.1	1335249	1336745	+	1497	36	55	30	126	63	86	58	41	46	45	35	35
gene1245	NC_017295.1	1336875	1337147	+	273	0	1	1	21	5	9	1	1	1	3	2	0
gene1246	NC_017295.1	1337147	1337503	+	357	5	19	12	58	30	44	26	25	29	26	16	15
gene1247	NC_017295.1	1337753	1338271	+	519	3	2	2	63	23	27	10	2	7	11	2	12
gene1248	NC_017295.1	1338285	1338899	+	615	0	2	0	69	13	12	0	0	1	1	3	2
gene1249	NC_017295.1	1338941	1339954	+	1014	7	4	9	99	28	24	3	1	1	4	3	7
gene1250	NC_017295.1	1339975	1340526	+	552	5	0	0	79	12	22	0	1	0	0	5	9
gene1251	NC_017295.1	1340578	1342047	+	1470	5	4	0	130	36	34	8	7	6	9	13	15
gene1252	NC_017295.1	1342084	1342398	+	315	1	4	0	54	19	15	1	0	0	6	1	5
gene1253	NC_017295.1	1342370	1342786	+	417	0	0	0	17	3	3	0	0	0	0	0	0
gene1254	NC_017295.1	1342907	1344898	+	1992	26	23	23	273	97	196	41	46	49	118	55	62
gene1255	NC_017295.1	1344956	1345132	+	177	0	0	0	5	3	1	0	0	1	0	0	1
gene1256	NC_017295.1	1345158	1346204	+	1047	2	9	3	129	33	46	4	1	7	6	1	11
gene1257	NC_017295.1	1346186	1347832	+	1647	18	8	7	248	66	80	3	2	4	10	15	13
gene1258	NC_017295.1	1348131	1348493	+	363	4	7	2	107	10	33	1	1	4	14	9	9
gene1259	NC_017295.1	1348749	1350113	+	1365	4	10	1	95	22	29	0	0	2	3	14	3
gene1260	NC_017295.1	1350132	1350690	+	559	1	3	1	38	11	13	1	0	2	4	3	0
gene1261	NC_017295.1	1350834	1351118	+	285	1	2	0	63	9	16	0	0	0	6	0	1
gene1262	NC_017295.1	1351229	1351378	+	150	0	0	1	9	0	4	0	0	0	1	0	0
gene1263	NC_017295.1	1351362	1351547	+	186	0	0	0	0	0	0	0	0	0	0	0	0
gene1264	NC_017295.1	1351519	1351737	+	219	0	0	0	4	1	6	0	0	0	0	1	0
gene1265	NC_017295.1	1351772	1352374	+	603	1	0	1	54	11	18	2	1	1	3	1	2
gene1266	NC_017295.1	1352443	1352733	+	291	0	0	0	10	1	3	1	0	2	2	0	2
gene1267	NC_017295.1	1352784	1353305	+	522	0	0	1	22	7	5	0	0	0	0	0	0
gene1268	NC_017295.1	1353336	1355435	+	2100	29	21	15	215	64	106	10	7	15	35	24	30
gene1269	NC_017295.1	1355445	1355918	+	474	0	2	2	28	4	15	0	0	0	1	1	2
gene1270	NC_017295.1	1355973	1356185	+	213	0	0	0	32	4	10	0	0	0	0	0	0
gene1271	NC_017295.1	1356224	1356829	+	606	1	0	2	67	11	10	0	0	1	4	3	3
gene1272	NC_017295.1	1357111	1357476	+	366	1	0	0	190	22	35	1	1	0	21	8	10
gene1273	NC_017295.1	1357806	1359110	+	1305	80	96	65	230	135	243	257	156	254	227	144	154
gene1274	NC_017295.1	1359750	1360880	+	1131	6	8	3	177	30	36	0	1	1	11	12	13
gene1275	NC_017295.1	1360880	1361467	+	588	0	1	1	41	3	8	0	0	0	1	3	3
gene1276	NC_017295.1	1361460	1362002	+	543	11	7	10	46	10	21	4	4	6	6	3	5
gene1277	NC_017295.1	1362081	1362497	+	417	0	1	1	43	3	4	0	1	0	2	0	1
gene1278	NC_017295.1	1362529	1362783	+	255	0	0	0	5	2	3	0	0	0	0	0	0
gene1279	NC_017295.1	1362780	1362998	+	219	3	0	0	18	1	1	0	0	0	1	2	0
gene1280	NC_017295.1	1363108	1364052	+	945	8	7	4	151	38	70	3	0	0	11	11	14
gene1281	NC_017295.1	1364350	1367688	+	3339	39	30	22	492	127	251	20	15	11	155	71	80
gene1282	NC_017295.1	1367672	1367836	+	165	0	0	0	12	1	2	1	1	0	3	0	1
gene1283	NC_017295.1	1367942	1368547	+	606	3	0	2	83	13	17	1	0	2	20	9	15
gene1284	NC_017295.1	1368688	1368945	+	258	0	2	0	4	1	3	0	0	0	3	0	0
gene1285	NC_017295.1	1368969	1369652	+	684	2	1	0	103	27	20	0	0	1	18	5	10
gene1286	NC_017295.1	1369645	1369830	+	186	0	1	0	21	1	4	0	0	0	4	0	4
gene1287	NC_017295.1	1369917	1371551	+	1635	27	19	31	262	70	104	20	17	23	83	43	85
gene1288	NC_017295.1	1371608	1371799	+	192	22	23	11	297	318	1265	221	162	170	867	350	466
gene1289	NC_017295.1	1371980	1372288	+	309	0	0	0	1	1	0	0	0	0	1	2	1
gene1290	NC_017295.1	1372335	1373330	+	996	1	6	5	72	18	56	4	3	8	11	9	10
gene1291	NC_017295.1	1373825	1374586	+	762	2	16	6	248	165	411	29	24	84	236	126	106
gene1292	NC_017295.1	1375180	1376082	+	903	98	96	72	131	98	171	66	32	87	126	81	59
gene1293	NC_017295.1	1376229	1376406	+	178	5988	3167	2412	5767	18928	59698	20045	7934	16719	36173	30774	20235
gene1294	NC_017295.1	1376622	1377089	+	468	4	6	6	31	27	53	133	75	95	16	21	10
gene1295	NC_017295.1	1377113	1378003	+	891	55	55	26	263	323	515	363	290	388	389	198	247
gene1296	NC_017295.1	1378169	1378360	+	192	0	0	0	5	0	4	0	0	0	5	1	0
gene1297	NC_017295.1	1378454	1378951	+	498	0	0	0	10	3	20	9	8	3	7	3	6
gene1298	NC_017295.1	1379051	1379731	+	681	3	10	3	63	31	58	47	54	64	72	34	20
gene1299	NC_017295.1	1379869	1380129	+	261	21	33	33	120	125	237	344	284	320	277	127	114
gene1300	NC_017295.1	1380134	1380733	+	600	23	39	25	202	292	680	555	416	374	618	247	224
gene1301	NC_017295.1	1380752	1381441	+	690	112	123	108	1416	1329	3664	2432	2494	2365	4705	2071	1462
gene1302	NC_017295.1	1381468	1382475	+	1008	38	36	28	329	337	1039	395	287	303	474	254	293
gene1303	NC_017295.1	1382484	1383335	+	852	49	69	44	170	116	303	334	277	247	260	127	104
gene1304	NC_017295.1	1383346	1383837	+	492	100	115	100	348	234	557	584	503	392	550	282	281
gene1305	NC_017295.1	1383856	1386606	+	2751	2144	2633	1950	6181	8510	21893	8612	8092	6730	18181	9832	8755
gene1306	NC_017295.1	1386943	1389693	+	2751	663	755	516	607	380	870	754	586	598	575	332	284
gene1307	NC_017295.1	1389888	1392623	+	2736	19	26	9	311	114	183	29	33	27	54	48	41
gene1308	NC_017295.1	1392788	1393423	+	636	1	6	5	125	117	244	36	36	43	93	47	45
gene1309	NC_017295.1	1393789	1394580	+	792	35	50	40	213	188	442	117	65	94	89	79	106
gene1310	NC_017295.1	1394593	1394865	+	273	6	8	2	66	37	63	24	30	28	12	18	16
gene1311	NC_017295.1	1395005	1396126	+	1122	220	243	213	3630	4300	9996	2555	2366	2774	8970	3543	4508
gene1312	NC_017295.1	1396402	1397208	+	807	2	2	5	94	20	17	1	1	7	2	10	5
gene1313	NC_017295.1	1397236	1398090	+	855	3	4	3	116	37	83	36	23	32	132	47	51
gene1314	NC_017295.1	1398168	1400036	+	1869	38	39	16	346	167	318	195	175	164	230	88	131
gene1315	NC_017295.1	1400005	1400721	+	717	5	7	3	65	11	30	15	17	13	15	6	7
gene1316	NC_017295.1	1400755	1402200	+	1446	4	5	3	143	30	72	39	35	22	23	7	18
gene1317	NC_017295.1	1402329	1402640	+	312	4	8	3	58	83	445	41	19	16	37	33	91
gene1318	NC_017295.1	1402643	1403017	+	375	157	168	94	4007	4832	12090	3939	3596	3918	10911	5274	5556
gene1319	NC_017295.1	1403021	1403323	+	303	1	1	1	50	43	176	9	6	3	10	7	22
gene1320	NC_017295.1	1403462	1404736	+	1275	44	45	46	369	368	983	246	240	140	748	282	351
gene1321	NC_017295.1	1404750	1405040	+	291	0	1	0	35	10	28	0	0	0	0	1	4
gene1322	NC_017295.1	1405061	1405663	+	603	5	13	6	42	18	47	27	14	10	17	12	8
gene1323	NC_017295.1	1405680	1406249	+	570	82	129	100	82	150	352	69	56	71	182	87	97
gene1324	NC_017295.1	1406258	1407472	+	1215	1171	1448	1059	1172	1837	3709	1442	1144	1416	3294	1478	1602
gene1325	NC_017295.1	1407488	1407871	+	384	39	42	38	59	70	169	54	30	47	32	21	33
gene1326	NC_017295.1	1407875	1408774	+	900	382	558	389	225	242	682	249	181	203	402	213	204
gene1327	NC_017295.1	1408816	1410093	-	1278	106	113	88	545	371	1158	1309	1197	1166	840	450	411
gene1328	NC_017295.1	1410313	1410942	+	630	3	1	0	75	15	43	3	4	6	14	6	10
gene1329	NC_017295.1	1411079	1413622	+	2544	33	41	37	434	153	264	55	46	92	228	113	134
gene1330	NC_017295.1	1413681	1413980	+	300	16	17	22	84	33	42	28	29	32	70	44	29
gene1331	NC_017295.1	1414055	1415725	+	1671	19	27	19	260	99	180	103	86	143	196	127	107
gene1332	NC_017295.1	1415722	1416753	+	1032	21	28	16	145	76	238	142	136	120	146	68	106
gene1333	NC_017295.1	1416803	1417069	-	267	103	119	95	1563	923	2206	2144	2079	2113	1976	962	1065
gene1334	NC_017295.1	1417253	1418236	+	984	5	3	4	94	29	54	4	12	4	21	21	16
gene1335	NC_017295.1	1418293	1419363	+	1071	2	6	0	29	17	26	12	8	15	24	35	11
gene1336	NC_017295.1	1419415	1419909	+	495	0	0	0	19	3	6	0	0	1	1	1	1
gene1337	NC_017295.1	1420010	1421818	+	1809	229	264	203	677	612	1580	740	519	631	984	575	530
gene1338	NC_017295.1	1421977	1423101	+	1125	13	26	18	479	235	527	292	315	296	542	212	260
gene1339	NC_017295.1	1423288	1424319	+	1032	23922	27588	17388	6719	5257	10187	3393	1548	5657	9383	6742	4713
gene1340	NC_017295.1	1424339	1424941	+	603	2570	2978	1941	1865	1437	2440	196	53	176	969	830	754
gene1341	NC_017295.1	1424962	1426809	+	1848	82597	92255	68335	11507	14577	37280	12908	4157	13799	30263	23350	13620
gene1342	NC_017295.1	1426935	1428059	+	1125	4258	4674	3359	2551	3109	7453	780	356	682	4506	3762	2571
gene1343	NC_017295.1	1428226	1429161	+	936	45	56	55	105	42	98	24	12	16	36	16	21
gene1344	NC_017295.1	1429178	1429930	+	753	21	31	14	85	59	115	28	20	11	32	25	32
gene1345	NC_017295.1	1429930	1431240	+	1311	30	59	60	126	89	188	98	79	71	174	86	72
gene1346	NC_017295.1	1431289	1431633	+	345	365	552	391	3072	8119	19931	3147	4079	4261	15432	9470	6755
gene1347	NC_017295.1	1431781	1431957	+	177	32	56	72	656	827	1916	204	187	178	610	341	691
gene1348	NC_017295.1	1431978	1432427	+	450	91	166	140	119	142	520	384	327	272	185	118	112
gene1349	NC_017295.1	1432527	1432829	+	303	2	0	0	39	5	9	1	0	0	2	2	2
gene1350	NC_017295.1	1432819	1433949	+	1131	4	7	4	88	25	53	16	7	10	11	16	14
gene1351	NC_017295.1	1433999	1436086	+	2088	124	183	120	687	562	1242	1212	1077	1278	1410	744	560
gene1352	NC_017295.1	1436104	1436604	+	501	5	2	0	85	21	46	7	8	4	4	4	14
gene1353	NC_017295.1	1436630	1437328	+	699	92	77	63	263	422	1112	489	366	393	946	515	458
gene1354	NC_017295.1	1437437	1438327	+	891	23	43	24	227	113	293	195	113	105	168	95	109
gene1355	NC_017295.1	1438407	1439150	+	744	123	167	100	2788	1788	3493	1527	1558	1526	4365	2045	2162
gene1356	NC_017295.1	1439156	1439749	+	594	17	29	8	144	106	232	157	149	144	199	140	103
gene1357	NC_017295.1	1439862	1440929	-	1068	10	22	13	189	94	156	261	272	321	420	278	150
gene1358	NC_017295.1	1441215	1443005	+	1791	13	17	12	481	510	1184	213	222	204	528	329	328
gene1359	NC_017295.1	1443030	1444166	+	1137	9	8	11	259	306	755	108	88	99	282	167	181
gene1360	NC_017295.1	1444289	1445179	+	891	162	192	107	257	247	494	361	279	450	411	250	219
gene1361	NC_017295.1	1445201	1445890	+	690	34	60	43	76	88	107	126	93	124	135	57	45
gene1362	NC_017295.1	1445881	1446687	+	807	123	159	129	267	283	756	373	294	472	584	309	272
gene1363	NC_017295.1	1446885	1447643	+	759	1	1	0	105	36	71	19	12	21	25	14	25
gene1364	NC_017295.1	1447701	1448042	+	342	13402	8137	5971	14471	15755	35346	14112	8094	11601	7616	11845	13972
gene1365	NC_017295.1	1448162	1448317	-	156	0	1	1	8	5	17	11	3	2	9	2	7
gene1366	NC_017295.1	1448455	1449951	+	1497	6	16	12	165	77	186	26	33	24	52	39	37
gene1367	NC_017295.1	1449967	1450455	+	489	5	5	6	52	20	53	25	20	10	15	8	11
gene1368	NC_017295.1	1450573	1450722	+	150	3	1	2	21	7	7	4	8	2	6	4	2
gene1369	NC_017295.1	1451181	1451774	+	594	3	1	6	134	34	62	28	63	44	39	22	29
gene1370	NC_017295.1	1452104	1452364	+	261	1	4	1	26	12	10	5	3	2	5	0	0
gene1371	NC_017295.1	1452693	1453187	-	495	0	1	0	42	6	16	3	1	5	9	0	3
gene1372	NC_017295.1	1453905	1454234	+	330	3	5	3	41	7	21	48	47	32	12	8	4
gene1373	NC_017295.1	1454490	1454750	+	261	8	10	7	43	39	71	87	80	102	80	44	53
gene1374	NC_017295.1	1454768	1455388	+	621	150	192	80	169	172	329	810	1070	942	261	223	157
gene1375	NC_017295.1	1455494	1455967	-	474	1073	1141	590	958	1028	2170	5695	6300	7143	2527	2431	1076
gene1376	NC_017295.1	1455981	1456427	-	447	1596	1668	990	578	1422	4591	6639	6801	7504	3250	3895	1404
gene1377	NC_017295.1	1456834	1457187	+	354	233	297	303	430	327	778	194	175	242	283	279	256
gene1378	NC_017295.1	1457361	1458131	-	771	50	67	38	602	335	709	197	223	269	644	311	386
gene1379	NC_017295.1	1458569	1459081	+	513	25	33	28	139	116	307	89	76	133	172	98	81
gene1380	NC_017295.1	1459471	1460172	+	702	0	6	3	49	16	34	4	4	2	4	13	0
gene1381	NC_017295.1	1460249	1460806	+	558	6	11	7	57	28	57	20	13	21	31	14	11
gene1382	NC_017295.1	1460837	1462333	+	1497	11	11	6	75	26	42	5	3	5	5	4	6
gene1383	NC_017295.1	1462565	1463992	+	1428	7	5	2	62	26	29	1	2	0	5	4	9
gene1384	NC_017295.1	1464009	1465262	+	1254	1	6	1	40	15	23	4	2	2	5	2	3
gene1385	NC_017295.1	1465264	1465617	+	354	1	0	0	9	3	1	0	2	0	1	0	0
gene1386	NC_017295.1	1465993	1466850	+	858	67	85	56	190	189	348	684	750	945	359	284	171
gene1387	NC_017295.1	1467024	1467269	-	246	5	6	5	32	10	20	27	21	33	37	24	8
